[16:09:33]: PID process B: 24126.
[16:09:33]: Center of circle drawn at (940, 340).
[16:09:38]: Center of circle drawn at (920, 340).
[16:09:38]: Center of circle drawn at (920, 320).
[16:09:38]: Center of circle drawn at (920, 300).
[16:09:38]: Center of circle drawn at (920, 280).
[16:09:38]: Center of circle drawn at (900, 280).
[16:09:39]: Center of circle drawn at (880, 280).
[16:09:39]: Center of circle drawn at (860, 280).
[16:09:39]: Center of circle drawn at (860, 300).
[16:09:39]: Center of circle drawn at (880, 300).
[16:09:41]: Exited successfully.
