[17:42:51]: Center of circle found at (940, 340).
[17:43:15]: Center of circle found at (920, 340).
[17:43:15]: Center of circle found at (900, 340).
[17:43:15]: Center of circle found at (880, 340).
[17:43:15]: Center of circle found at (860, 340).
[17:43:15]: Center of circle found at (840, 340).
[17:43:16]: Center of circle found at (840, 320).
[17:43:16]: Center of circle found at (840, 300).
[17:43:16]: Center of circle found at (840, 280).
[17:43:16]: Center of circle found at (840, 260).
[17:43:16]: Center of circle found at (840, 240).
[17:43:16]: Center of circle found at (840, 220).
[17:43:16]: Center of circle found at (840, 200).
[17:43:16]: Center of circle found at (840, 180).
[17:43:20]: Center of circle found at (840, 160).
[17:43:27]: Center of circle found at (820, 160).
[17:43:27]: Center of circle found at (820, 180).
[17:43:27]: Center of circle found at (820, 200).
[17:43:27]: Center of circle found at (820, 220).
[17:43:28]: Center of circle found at (800, 220).
[17:43:28]: Center of circle found at (800, 240).
[17:43:28]: Center of circle found at (800, 260).
[17:43:28]: Center of circle found at (780, 260).
[17:43:28]: Center of circle found at (760, 260).
[17:43:29]: Center of circle found at (740, 260).
[17:43:29]: Center of circle found at (740, 280).
[17:43:29]: Center of circle found at (720, 280).
[17:43:29]: Center of circle found at (700, 280).
[17:43:29]: Center of circle found at (680, 280).
[17:43:29]: Center of circle found at (660, 280).
[17:43:29]: Center of circle found at (640, 280).
[17:43:29]: Center of circle found at (620, 280).
[17:43:29]: Center of circle found at (600, 280).
[17:43:29]: Center of circle found at (600, 300).
[17:43:29]: Center of circle found at (600, 320).
[17:43:29]: Center of circle found at (600, 340).
[17:43:29]: Center of circle found at (600, 360).
[17:43:29]: Center of circle found at (600, 380).
[17:43:29]: Center of circle found at (600, 400).
[17:43:29]: Center of circle found at (600, 420).
[17:43:30]: Center of circle found at (600, 440).
[17:43:30]: Center of circle found at (600, 460).
[17:43:30]: Center of circle found at (600, 480).
[17:43:30]: Center of circle found at (600, 500).
[17:43:30]: Center of circle found at (600, 520).
[17:43:30]: Center of circle found at (640, 500).
[17:43:30]: Center of circle found at (640, 520).
[17:43:30]: Center of circle found at (660, 520).
[17:43:30]: Center of circle found at (680, 520).
[17:43:30]: Center of circle found at (700, 520).
[17:43:30]: Center of circle found at (720, 520).
[17:43:30]: Center of circle found at (740, 520).
[17:43:30]: Center of circle found at (760, 520).
[17:43:30]: Center of circle found at (780, 520).
[17:43:30]: Center of circle found at (800, 520).
[17:43:30]: Center of circle found at (820, 520).
[17:43:30]: Center of circle found at (840, 520).
[17:43:30]: Center of circle found at (860, 520).
[17:43:43]: Center of circle found at (880, 480).
[17:43:43]: Center of circle found at (860, 480).
[17:43:44]: Center of circle found at (860, 460).
[17:43:44]: Center of circle found at (860, 440).
[17:43:44]: Center of circle found at (860, 420).
[17:43:44]: Center of circle found at (860, 400).
[17:43:44]: Center of circle found at (860, 380).
[17:43:44]: Center of circle found at (860, 360).
[17:43:44]: Center of circle found at (860, 340).
[17:43:44]: Center of circle found at (860, 320).
[17:43:44]: Center of circle found at (860, 300).
[17:43:44]: Center of circle found at (860, 280).
[17:43:44]: Center of circle found at (860, 260).
[17:43:44]: Center of circle found at (860, 240).
[17:43:44]: Center of circle found at (880, 240).
[17:43:45]: Center of circle found at (900, 240).
[17:43:45]: Center of circle found at (920, 240).
[17:43:45]: Center of circle found at (940, 240).
[17:43:45]: Center of circle found at (960, 240).
[17:43:45]: Center of circle found at (980, 240).
[17:43:45]: Center of circle found at (1000, 240).
[17:43:45]: Center of circle found at (1020, 240).
[17:43:45]: Center of circle found at (1040, 240).
[17:43:45]: Center of circle found at (1060, 240).
[17:43:45]: Center of circle found at (1080, 240).
[17:43:45]: Center of circle found at (1100, 240).
[17:43:45]: Center of circle found at (1100, 260).
[17:44:00]: Center of circle found at (1080, 260).
[17:44:01]: Center of circle found at (1060, 260).
[17:44:01]: Center of circle found at (1040, 260).
[17:44:01]: Center of circle found at (1020, 260).
[17:44:01]: Center of circle found at (1000, 260).
[17:44:01]: Center of circle found at (980, 260).
[17:44:01]: Center of circle found at (980, 280).
[17:44:01]: Center of circle found at (980, 300).
[17:44:01]: Center of circle found at (980, 320).
[17:44:01]: Center of circle found at (980, 340).
[17:44:01]: Center of circle found at (980, 360).
[17:44:01]: Center of circle found at (980, 380).
[17:44:01]: Center of circle found at (980, 400).
[17:44:01]: Center of circle found at (980, 420).
[17:44:01]: Center of circle found at (980, 440).
[17:44:01]: Center of circle found at (980, 460).
[17:44:01]: Center of circle found at (980, 480).
[17:44:01]: Center of circle found at (980, 500).
[17:44:02]: Center of circle found at (980, 520).
[17:44:02]: Center of circle found at (1000, 520).
[17:44:02]: Center of circle found at (1020, 520).
[17:44:02]: Center of circle found at (1040, 520).
[17:44:02]: Center of circle found at (1060, 520).
[17:44:02]: Center of circle found at (1080, 520).
[17:44:02]: Center of circle found at (1100, 520).
[17:44:02]: Center of circle found at (1120, 520).
[17:44:02]: Center of circle found at (1140, 520).
[17:44:02]: Center of circle found at (1160, 520).
[17:44:02]: Center of circle found at (1180, 520).
[17:44:02]: Center of circle found at (1200, 520).
[17:44:02]: Center of circle found at (1220, 520).
[17:44:02]: Center of circle found at (1240, 520).
[17:44:02]: Center of circle found at (1260, 520).
[17:44:02]: Center of circle found at (1280, 520).
[17:44:02]: Center of circle found at (1280, 500).
[17:44:03]: Center of circle found at (1280, 480).
[17:44:03]: Center of circle found at (1280, 460).
[17:44:03]: Center of circle found at (1280, 440).
[17:44:03]: Center of circle found at (1280, 420).
[17:44:03]: Center of circle found at (1280, 400).
[17:44:03]: Center of circle found at (1280, 380).
[17:44:03]: Center of circle found at (1280, 360).
[17:44:03]: Center of circle found at (1280, 340).
[17:44:03]: Center of circle found at (1280, 320).
[17:44:03]: Center of circle found at (1280, 300).
[17:44:03]: Center of circle found at (1280, 280).
[17:44:03]: Center of circle found at (1280, 260).
[17:44:03]: Center of circle found at (1280, 240).
[17:44:03]: Center of circle found at (1300, 240).
[17:44:04]: Center of circle found at (1320, 240).
[17:44:04]: Center of circle found at (1340, 240).
[17:44:04]: Center of circle found at (1360, 240).
[17:44:04]: Center of circle found at (1380, 240).
[17:44:04]: Center of circle found at (1400, 240).
[17:44:04]: Center of circle found at (1420, 240).
[17:44:04]: Center of circle found at (1440, 240).
[17:44:04]: Center of circle found at (1460, 240).
[17:44:04]: Center of circle found at (1480, 240).
[17:44:04]: Center of circle found at (1500, 240).
[17:44:04]: Center of circle found at (1520, 240).
[17:44:04]: Center of circle found at (1540, 240).
[17:44:04]: Center of circle found at (1560, 240).
[17:44:04]: Center of circle found at (1560, 260).
[17:44:04]: Center of circle found at (1560, 280).
[17:44:04]: Center of circle found at (1560, 300).
[17:44:04]: Center of circle found at (1560, 320).
[17:44:04]: Center of circle found at (1560, 340).
[17:44:05]: Center of circle found at (1560, 360).
[17:44:05]: Center of circle found at (1560, 380).
[17:44:05]: Center of circle found at (1560, 400).
[17:44:05]: Center of circle found at (1560, 420).
[17:44:05]: Center of circle found at (1560, 440).
[17:44:05]: Center of circle found at (1560, 460).
[17:44:05]: Center of circle found at (1560, 480).
[17:44:05]: Center of circle found at (1560, 500).
[17:44:05]: Center of circle found at (1560, 520).
[17:44:05]: Center of circle found at (1560, 540).
[17:44:05]: Center of circle found at (1560, 560).
[17:44:05]: Center of circle found at (1560, 580).
[17:44:05]: Center of circle found at (1560, 580).
[17:44:05]: Center of circle found at (1560, 580).
[17:44:05]: Center of circle found at (1580, 580).
(1580, 580).
[17:44:05]: Center of circle found at (1580, 580).
[17:44:05]: Center of circle found at (1580, 580).
[17:44:05]: Center of circle found at (1580, 580).
[17:46:37]: Center of circle found at (1580, 580).
[17:46:37]: Exited successfully.
