[16:38:45]: Center of circle found at (940, 340).
[16:38:49]: Center of circle found at (940, 360).
[16:38:50]: Center of circle found at (940, 380).
[16:38:50]: Center of circle found at (940, 400).
[16:38:50]: Center of circle found at (940, 420).
[16:38:50]: Center of circle found at (940, 440).
[16:38:50]: Center of circle found at (940, 460).
[16:38:50]: Center of circle found at (940, 480).
[16:38:50]: Center of circle found at (920, 480).
[16:38:50]: Center of circle found at (900, 480).
[16:38:50]: Center of circle found at (880, 480).
[16:38:50]: Center of circle found at (860, 480).
[16:38:50]: Center of circle found at (840, 480).
[16:38:50]: Center of circle found at (820, 480).
[16:38:50]: Center of circle found at (800, 480).
[16:38:50]: Center of circle found at (780, 480).
[16:38:50]: Center of circle found at (760, 480).
[16:38:50]: Center of circle found at (760, 460).
[16:38:51]: Center of circle found at (760, 440).
[16:38:51]: Center of circle found at (760, 420).
[16:38:51]: Center of circle found at (760, 400).
[16:38:51]: Center of circle found at (760, 380).
[16:38:51]: Center of circle found at (760, 360).
[16:38:51]: Center of circle found at (760, 340).
[16:38:51]: Center of circle found at (760, 320).
[16:38:51]: Center of circle found at (760, 300).
[16:38:51]: Center of circle found at (760, 280).
[16:38:51]: Center of circle found at (760, 260).
[16:38:51]: Center of circle found at (760, 240).
[16:38:51]: Center of circle found at (760, 220).
[16:38:51]: Center of circle found at (760, 200).
[16:38:51]: Center of circle found at (780, 200).
[16:38:51]: Center of circle found at (800, 200).
[16:38:51]: Center of circle found at (820, 200).
[16:38:51]: Center of circle found at (840, 200).
[16:38:52]: Center of circle found at (860, 200).
[16:38:53]: Center of circle found at (860, 200).
[16:38:53]: Exited successfully.
